	SRR29920099	SRR29920100	SRR29920101	SRR29920102	SRR29920103	SRR29920104	SRR29920105	SRR29920106	SRR29920107	SRR29920108	SRR29920109	SRR29920110	SRR29920111	SRR29920112	SRR29920113	SRR29920114	SRR29920115	SRR29920116	SRR29920117	SRR29920118	SRR29920119	SRR29920120	SRR29920121	SRR29920122	SRR29920123	SRR29920124	SRR29920125	SRR29920126	SRR29920127	SRR29920128	SRR29920129	SRR29920130	SRR29920131	SRR29920132	SRR29920133	SRR29920134	SRR29920135	SRR29920136	SRR29920137	SRR29920138	SRR29920139	SRR29920140	SRR29920141	SRR29920142	SRR29920143	SRR29920144	SRR29920145	SRR29920146	SRR29920147	SRR29920148	SRR29920149	SRR29920150	SRR29920151	SRR29920152	SRR29920153	SRR29920154	SRR29920155	SRR29920156	SRR29920157	SRR29920158	SRR29920159	SRR29920160	SRR29920161	SRR29920162	SRR29920163	SRR29920164	SRR29920165	SRR29920166	SRR29920167	SRR29920168	SRR29920169	SRR29920170	SRR29920171	SRR29920172	SRR29920173	SRR29920174	SRR29920175	SRR29920176	SRR29920177	SRR29920178	SRR29920179	SRR29920180	SRR29920181	SRR29920182	SRR29920183	SRR29920184	SRR29920185	SRR29920186	SRR29920187	SRR29920188	SRR29920189	SRR29920190	SRR29920191	SRR29920192	SRR29920193	SRR29920194	SRR29920195	SRR29920196	SRR29920197	SRR29920198	SRR29920199	SRR29920200
ASV_0011	0	0	0	0	0	0	139	5859	3915	1049	40	729	612	319	83	39	85	3007	2124	4030	0	72	0	0	0	0	0	0	0	0	33	51	0	374	48	201	0	171	151	136	279	318	189	0	686	141	36	84	0	0	0	0	0	0	70	252	0	8893	211	0	0	187	13197	145	49	404	80	139	59	1045	2412	88	71	0	0	21	119	20	0	0	0	0	0	0	0	0	0	0	0	0	322	220	71	61	324	1817	460	403	0	324	0	0
ASV_0012	970	177	977	612	1118	2002	790	644	660	515	327	1002	843	505	345	665	68	530	326	366	608	555	686	380	826	2542	533	223	84	0	408	0	1175	237	93	479	418	230	402	959	0	687	60	95	225	109	95	124	46	0	52	1288	468	249	183	1344	883	1600	776	1881	116	473	853	1036	779	411	1825	774	295	1488	944	461	633	629	320	147	291	176	582	413	328	477	568	167	0	137	196	178	640	89	236	89	0	111	266	434	335	1263	1303	460	0	0
ASV_0013	757	0	1448	0	847	0	0	5	0	1106	292	2166	2275	0	0	0	0	1503	839	592	2875	244	5436	965	60	5	230	499	4	0	820	105	1706	0	270	0	164	0	0	0	19	9	0	1351	0	0	0	0	506	189	1152	0	1349	192	0	3	0	639	11	0	3548	0	0	0	0	0	0	0	0	435	493	151	0	4838	3269	0	0	0	2900	5	0	0	59	270	15	354	148	1116	1810	0	0	0	0	0	0	0	0	0	52	614	98	394
ASV_0014	0	377	0	584	0	3198	0	0	0	994	9	551	335	0	927	1716	1289	0	0	0	12747	184	3603	1391	790	2946	0	0	3813	827	0	0	808	2210	0	1285	0	0	0	0	1218	1190	108	452	270	900	540	869	50	205	779	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	155	28	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	1313	584	68	78
ASV_0015	0	0	0	0	0	0	0	1421	131	2411	58	2171	158	4594	0	15	12	769	9015	551	0	35	0	0	619	127	5	5	15	16	0	0	0	0	0	0	0	221	466	240	674	418	30	0	140	35	15	12	0	0	0	169	19	3136	62	700	0	80	326	0	3795	0	0	282	107	0	45	687	1393	1249	774	195	13	0	8	199	0	6	0	29	0	14	51	5	0	11	94	0	388	34	21	0	0	65	3643	430	383	0	397	99	23	50
ASV_0016	1221	427	785	562	831	304	333	0	86	110	599	99	216	100	399	649	536	600	191	426	142	415	257	568	1074	152	314	127	408	453	766	498	656	791	353	732	67	254	253	264	326	545	344	673	222	749	471	305	234	211	231	451	369	75	252	439	750	466	1259	409	0	140	109	528	204	86	351	92	187	473	357	389	240	943	997	103	119	285	563	435	820	688	100	1216	206	763	636	616	697	472	539	406	263	253	113	202	445	162	346	270	610	788
ASV_0017	1552	422	2094	621	1144	2332	42	464	453	354	230	325	253	22	128	451	78	646	72	605	20	341	255	113	466	830	241	0	803	111	566	127	763	276	96	718	17	185	91	342	40	795	112	213	123	220	143	51	93	43	13	596	142	6	87	1171	1089	1639	917	268	0	360	700	480	572	350	238	326	173	184	551	427	695	688	363	109	150	146	522	330	670	513	180	192	43	167	334	391	1180	36	203	55	14	87	0	116	166	458	1311	582	771	934
ASV_0018	0	0	0	0	0	0	0	12	0	0	1141	0	0	207	477	1093	345	0	0	0	0	905	0	0	0	0	0	0	0	0	317	569	0	0	36	0	0	319	173	881	10	1018	489	0	679	1576	1104	1083	0	0	0	0	0	0	0	0	0	0	0	0	0	3758	1054	3264	2580	0	2165	2028	2046	946	507	1556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1518	714	343	0	0	1914	1965	0	0	109	0	0
ASV_0019	760	114	692	427	884	1379	605	524	440	345	214	776	567	348	207	470	43	294	205	246	443	315	467	257	544	1743	332	144	66	0	296	0	708	167	51	246	347	125	267	670	15	461	0	42	138	44	37	35	33	0	54	968	296	149	123	920	607	1090	579	1345	103	344	611	674	490	236	1262	498	191	1038	623	299	475	435	206	85	187	116	354	264	232	322	380	114	26	109	121	71	447	57	148	55	0	88	174	330	217	872	904	266	0	0
ASV_0020	0	0	0	0	0	0	105	691	531	985	514	974	729	1680	769	826	284	2204	1790	1517	88	254	197	261	0	0	392	41	0	0	63	275	0	0	94	0	0	308	446	1034	544	610	120	0	258	1191	569	514	91	95	186	0	114	145	313	0	0	0	0	0	18	2080	302	628	372	162	669	773	1362	563	266	431	455	0	0	248	403	644	0	0	0	0	0	344	121	0	142	0	0	0	667	462	190	0	0	1039	931	92	0	58	0	0
