.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR29920133_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920133_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920134_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920134_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920135_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920135_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920136_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920136_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920137_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920137_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920138_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920138_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920139_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920139_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920140_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920140_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920141_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920141_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920142_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920142_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920143_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920143_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920144_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920144_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920145_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920145_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920146_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920146_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920147_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920147_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920148_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920148_2	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR29920149_1	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
