Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR29920126_2	(1.0, 2.901272635532881)	(2.0, 1.3791556876156303)	(3.0, 1.0595952234120087)	(4.0, 0.8857991814767057)	(5.0, 0.6727588720076245)	(6.0, 0.5382070976060996)	(7.0, 0.5297976117060044)	(8.0, 0.392442675337781)	(9.0, 0.3910410943544318)	('>10', 5.386275719011045)	('>50', 1.8024331445870942)	('>100', 1.8795200986713012)	('>500', 6.385602960139036)	('>1k', 68.49946739922633)	('>5k', 7.296630599316028)	('>10k+', 0.0)
SRR29920127_1	(1.0, 4.247902075840747)	(2.0, 2.2209603129534985)	(3.0, 1.4622373651334468)	(4.0, 1.0915515174458956)	(5.0, 0.7413716953751025)	(6.0, 0.5583948514101835)	(7.0, 0.3975014196479273)	(8.0, 0.4290491513660168)	(9.0, 0.42589437819420783)	('>10', 9.593665215471008)	('>50', 6.615559341283362)	('>100', 13.574988958293899)	('>500', 25.4574421099123)	('>1k', 33.18348160767241)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920127_2	(1.0, 2.7872420972932046)	(2.0, 1.252444949208152)	(3.0, 0.9133068332386902)	(4.0, 0.7445264685469115)	(5.0, 0.5205375733484763)	(6.0, 0.7098239636570131)	(7.0, 0.47479336235724656)	(8.0, 0.416430058678781)	(9.0, 0.26973310618966495)	('>10', 4.288914127074263)	('>50', 1.1199444759921762)	('>100', 2.828254148526721)	('>500', 7.615622436746798)	('>1k', 64.72648116600416)	('>5k', 11.331945233137738)	('>10k+', 0.0)
SRR29920128_1	(1.0, 3.724442866594588)	(2.0, 2.001000500250125)	(3.0, 1.2828995142732658)	(4.0, 0.9101324855976376)	(5.0, 0.6051412803175781)	(6.0, 0.5131598057093062)	(7.0, 0.40665494037341254)	(8.0, 0.400200100050025)	(9.0, 0.36308476819054686)	('>10', 5.2235795317013345)	('>50', 4.006842130742791)	('>100', 10.684374445287158)	('>500', 15.428682082976971)	('>1k', 54.449805547935256)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920128_2	(1.0, 2.5625716083848378)	(2.0, 1.019864771095225)	(3.0, 0.7213284061385532)	(4.0, 0.6777582339556876)	(5.0, 0.64548403233875)	(6.0, 0.5712533686197938)	(7.0, 0.5647985282964063)	(8.0, 0.33565169681615004)	(9.0, 0.37760815891816873)	('>10', 4.273104294082525)	('>50', 1.3393793671029064)	('>100', 2.6626216333973436)	('>500', 5.1461214478206845)	('>1k', 47.75936355274412)	('>5k', 31.343090900288857)	('>10k+', 0.0)
SRR29920129_1	(1.0, 3.6762403396921224)	(2.0, 2.0541854027581197)	(3.0, 1.3715445219635005)	(4.0, 0.9118579104926288)	(5.0, 0.6575898392975688)	(6.0, 0.6012249959292058)	(7.0, 0.48223254881821714)	(8.0, 0.39079624735398377)	(9.0, 0.21418640479977957)	('>10', 7.580445157007403)	('>50', 7.8685321342234795)	('>100', 8.827987023560505)	('>500', 10.424990918997459)	('>1k', 54.93818655510603)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920129_2	(1.0, 2.739331387702444)	(2.0, 0.9995365557323046)	(3.0, 0.8492303067500031)	(4.0, 0.5611433295339254)	(5.0, 0.5886994751806807)	(6.0, 0.4734646842942496)	(7.0, 0.4120896326264764)	(8.0, 0.39079624735398377)	(9.0, 0.3607349975575235)	('>10', 4.469105803073763)	('>50', 1.340230720092188)	('>100', 4.398962886882022)	('>500', 1.619549832784298)	('>1k', 36.33904079562108)	('>5k', 44.45808334481506)	('>10k+', 0.0)
SRR29920130_1	(1.0, 3.948765809545264)	(2.0, 2.210922665980111)	(3.0, 1.1730441219064782)	(4.0, 0.93328613265536)	(5.0, 0.6275544685096386)	(6.0, 0.5406623113313809)	(7.0, 0.4843433205676954)	(8.0, 0.373314453062144)	(9.0, 0.23171241914202043)	('>10', 6.7357512953367875)	('>50', 4.925498020789753)	('>100', 18.70755961767451)	('>500', 13.56804943198275)	('>1k', 45.539535931516106)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920130_2	(1.0, 2.621246741544106)	(2.0, 1.1907443761464938)	(3.0, 0.7627200463424838)	(4.0, 0.559971679593216)	(5.0, 0.6436456087278344)	(6.0, 0.5213529430695459)	(7.0, 0.3942329353457986)	(8.0, 0.38618736523670066)	(9.0, 0.44894281208766457)	('>10', 4.486209892833006)	('>50', 1.6895697229105655)	('>100', 1.5994593376886685)	('>500', 7.03826473143887)	('>1k', 48.19618318154024)	('>5k', 29.461268625494803)	('>10k+', 0.0)
SRR29920131_1	(1.0, 4.5224257045728695)	(2.0, 2.452023248163176)	(3.0, 1.3093540958438425)	(4.0, 1.0790656870270863)	(5.0, 0.8553569470336659)	(6.0, 0.6184888693935738)	(7.0, 0.6908652264502687)	(8.0, 0.5088277223379757)	(9.0, 0.37504112293014585)	('>10', 8.976861497971269)	('>50', 9.987937273823883)	('>100', 20.614102423511348)	('>500', 9.608509705011514)	('>1k', 38.40114047592938)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920131_2	(1.0, 3.412654896370216)	(2.0, 1.3992762364294329)	(3.0, 0.9408926417370326)	(4.0, 0.798333150564755)	(5.0, 0.7018313411558285)	(6.0, 0.5000548305735277)	(7.0, 0.44522425704572866)	(8.0, 0.5263735058668714)	(9.0, 0.27634609058010745)	('>10', 3.710933216361443)	('>50', 0.7500822458602917)	('>100', 11.698651167891217)	('>500', 6.809957232152648)	('>1k', 55.81752385129949)	('>5k', 12.211865336111416)	('>10k+', 0.0)
SRR29920132_1	(1.0, 4.260874395866896)	(2.0, 2.3776456863507582)	(3.0, 1.172157102383201)	(4.0, 0.8666185211932671)	(5.0, 0.7406995907634761)	(6.0, 0.5555246930726071)	(7.0, 0.7258855989482066)	(8.0, 0.4740477380886247)	(9.0, 0.41664351980445535)	('>10', 10.019813714052923)	('>50', 6.57370886802585)	('>100', 17.876784623076496)	('>500', 10.292020813658501)	('>1k', 43.64757513471474)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920132_2	(1.0, 3.1109382812065998)	(2.0, 1.2925207858822658)	(3.0, 0.9666129659463363)	(4.0, 0.6814436235023981)	(5.0, 0.7129233561098457)	(6.0, 0.5999666685184156)	(7.0, 0.4536784993426291)	(8.0, 0.4740477380886247)	(9.0, 0.34998055663574246)	('>10', 4.768253615539877)	('>50', 1.0499416699072273)	('>100', 5.336740551450846)	('>500', 9.54206247801048)	('>1k', 57.29311334555488)	('>5k', 13.367775864303836)	('>10k+', 0.0)
SRR29920133_1	(1.0, 4.046594982078853)	(2.0, 1.924731182795699)	(3.0, 1.4623655913978495)	(4.0, 0.9247311827956989)	(5.0, 0.6451612903225806)	(6.0, 0.6236559139784946)	(7.0, 0.5017921146953405)	(8.0, 0.45878136200716846)	(9.0, 0.4032258064516129)	('>10', 7.252688172043011)	('>50', 4.856630824372759)	('>100', 9.992831541218639)	('>500', 19.157706093189965)	('>1k', 47.74910394265233)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920133_2	(1.0, 2.9910394265232974)	(2.0, 1.146953405017921)	(3.0, 0.9569892473118279)	(4.0, 0.7383512544802868)	(5.0, 0.6451612903225806)	(6.0, 0.5806451612903226)	(7.0, 0.4014336917562724)	(8.0, 0.5304659498207885)	(9.0, 0.4032258064516129)	('>10', 4.60931899641577)	('>50', 1.4426523297491038)	('>100', 4.598566308243727)	('>500', 4.041218637992832)	('>1k', 41.11648745519713)	('>5k', 35.79749103942652)	('>10k+', 0.0)
SRR29920134_1	(1.0, 4.150003772730702)	(2.0, 2.090092809175281)	(3.0, 1.3864785331623029)	(4.0, 0.9130008300007545)	(5.0, 0.6979551799592545)	(6.0, 0.5545914132649212)	(7.0, 0.46215951105410097)	(8.0, 0.6790915264468422)	(9.0, 0.5432732211574738)	('>10', 8.941371764883423)	('>50', 6.398551271410247)	('>100', 19.646495133177392)	('>500', 8.467894061721875)	('>1k', 45.06904097185543)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920134_2	(1.0, 3.625594205085641)	(2.0, 1.3393193993812722)	(3.0, 0.9846827133479212)	(4.0, 0.9356372142156493)	(5.0, 0.6507960461782237)	(6.0, 0.49800045272768434)	(7.0, 0.5677959707236098)	(8.0, 0.3320003018184562)	(9.0, 0.32256847506225006)	('>10', 4.5631177846525315)	('>50', 1.0110918282652985)	('>100', 2.239115671923338)	('>500', 11.753942503584094)	('>1k', 48.113634648758776)	('>5k', 23.062702784275256)	('>10k+', 0.0)
SRR29920135_1	(1.0, 4.994477674024987)	(2.0, 2.6794038756687755)	(3.0, 1.48027023538018)	(4.0, 0.9352094897944547)	(5.0, 0.8391066741253927)	(6.0, 0.5507982271182065)	(7.0, 0.6124761535923806)	(8.0, 0.504898374858356)	(9.0, 0.4260080037867378)	('>10', 11.288494915156992)	('>50', 11.256938766728345)	('>100', 39.189867607613635)	('>500', 15.953067401064303)	('>1k', 9.288982601087254)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920135_2	(1.0, 3.0724213606437454)	(2.0, 1.3454394193668688)	(3.0, 1.127415121132579)	(4.0, 0.7688225253524965)	(5.0, 0.6741540800665548)	(6.0, 0.5938293386118163)	(7.0, 0.43174548531921914)	(8.0, 0.4130986703386548)	(9.0, 0.361461336546323)	('>10', 5.185248934979991)	('>50', 2.061190240543913)	('>100', 2.348064317167979)	('>500', 4.795100190771261)	('>1k', 67.25332415336288)	('>5k', 9.568684825795717)	('>10k+', 0.0)
SRR29920136_1	(1.0, 5.080939772765358)	(2.0, 2.69128933874049)	(3.0, 1.4478667426349834)	(4.0, 0.8043704125749908)	(5.0, 0.6200355263598887)	(6.0, 0.6233870697456179)	(7.0, 0.45748567215202596)	(8.0, 0.4826222475449945)	(9.0, 0.4675403023092134)	('>10', 12.415792472433555)	('>50', 5.387605992559574)	('>100', 40.19003250997084)	('>500', 23.060294265509267)	('>1k', 6.270737674699199)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920136_2	(1.0, 3.4654958608439186)	(2.0, 1.4244059389348795)	(3.0, 1.0356269061903007)	(4.0, 0.8110734993464491)	(5.0, 0.6703086771458256)	(6.0, 0.5731139189596809)	(7.0, 0.45748567215202596)	(8.0, 0.4289975533733284)	(9.0, 0.42229446660187014)	('>10', 5.414418339645407)	('>50', 2.07795689915206)	('>100', 1.410999765391963)	('>500', 5.271977745751919)	('>1k', 66.32704360357945)	('>5k', 10.208801152930924)	('>10k+', 0.0)
SRR29920137_1	(1.0, 5.184679391494903)	(2.0, 2.52802743989583)	(3.0, 1.381522533108902)	(4.0, 0.95277416076476)	(5.0, 0.643122558516213)	(6.0, 0.5430812716359132)	(7.0, 0.5891320227395433)	(8.0, 0.40651697525963093)	(9.0, 0.24295741099501383)	('>10', 13.300727284276052)	('>50', 11.001365642963764)	('>100', 32.86118080477657)	('>500', 24.370375075427955)	('>1k', 5.994537428144948)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920137_2	(1.0, 3.885730618985613)	(2.0, 1.5149109156159686)	(3.0, 1.1290373805062406)	(4.0, 0.8574967446882841)	(5.0, 0.7145806205735701)	(6.0, 0.6288309461047417)	(7.0, 0.5669006256550323)	(8.0, 0.4319242862133579)	(9.0, 0.44303998475561346)	('>10', 4.865500047638708)	('>50', 1.8118588623876521)	('>100', 3.0187061326896814)	('>500', 4.843268650554197)	('>1k', 65.6524915044304)	('>5k', 9.63572267920094)	('>10k+', 0.0)
SRR29920138_1	(1.0, 4.454094149898063)	(2.0, 2.2345339153871846)	(3.0, 1.357997673320356)	(4.0, 0.9030281390018314)	(5.0, 0.6622974233750677)	(6.0, 0.497586933735703)	(7.0, 0.34669830336677454)	(8.0, 0.5252306522765754)	(9.0, 0.31099183358481436)	('>10', 9.610799479376634)	('>50', 7.717204759326876)	('>100', 36.03819440445064)	('>500', 20.418341607251868)	('>1k', 14.923000725647611)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920138_2	(1.0, 2.027206026330642)	(2.0, 0.8915099229431347)	(3.0, 0.6945484283394188)	(4.0, 0.6127690943226712)	(5.0, 0.5989472350522351)	(6.0, 0.47685414483004873)	(7.0, 0.3225100496435112)	(8.0, 0.43308492380700075)	(9.0, 0.35245741139612297)	('>10', 4.295142768288048)	('>50', 1.4478397585781915)	('>100', 2.1953719807876153)	('>500', 1.5445927734712448)	('>1k', 55.80460498278027)	('>5k', 16.28099839896797)	('>10k+', 12.02156210046188)
SRR29920139_1	(1.0, 4.352756788440219)	(2.0, 2.265574230048803)	(3.0, 1.288242714611552)	(4.0, 0.8104078798149823)	(5.0, 0.7709068668051325)	(6.0, 0.65750073268008)	(7.0, 0.6154512672179818)	(8.0, 0.4689152512137005)	(9.0, 0.41284929726423625)	('>10', 10.349265408580639)	('>50', 7.51538628168045)	('>100', 25.526573987945824)	('>500', 17.77418162820627)	('>1k', 27.19198766549013)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920139_2	(1.0, 2.846621389161432)	(2.0, 1.2003211050089833)	(3.0, 0.883038774704061)	(4.0, 0.7339543062475312)	(5.0, 0.5096904904496744)	(6.0, 0.5504657296856484)	(7.0, 0.4994966806406809)	(8.0, 0.417946202168733)	(9.0, 0.42431733329935395)	('>10', 4.724830846468482)	('>50', 1.246193249149454)	('>100', 3.6850622459511464)	('>500', 6.796722690146409)	('>1k', 49.814600084098934)	('>5k', 25.66673887281948)	('>10k+', 0.0)
SRR29920140_1	(1.0, 4.917305620683099)	(2.0, 2.524554844433179)	(3.0, 1.338318230783854)	(4.0, 1.0341549965147963)	(5.0, 0.6843672771053799)	(6.0, 0.6995754388188328)	(7.0, 0.6032570813002979)	(8.0, 0.5474938216843038)	(9.0, 0.38780812369304857)	('>10', 13.389519041885812)	('>50', 10.157784677777073)	('>100', 30.17045814587162)	('>500', 12.857233381914963)	('>1k', 20.688169317533745)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920140_2	(1.0, 2.86420378936696)	(2.0, 1.272416196692225)	(3.0, 1.011342753944617)	(4.0, 0.7857550218617325)	(5.0, 0.7920917559090045)	(6.0, 0.5627019833977568)	(7.0, 0.3725999619795957)	(8.0, 0.2838856853177872)	(9.0, 0.3535897598377796)	('>10', 4.637221975793676)	('>50', 1.5284202522020152)	('>100', 2.732399721183702)	('>500', 5.253152525188518)	('>1k', 62.89335276598441)	('>5k', 14.65686585134022)	('>10k+', 0.0)
SRR29920141_1	(1.0, 4.526692078288863)	(2.0, 2.3462958939821856)	(3.0, 1.427922501135623)	(4.0, 1.0901980921533387)	(5.0, 0.7801236347836391)	(6.0, 0.5924989631268146)	(7.0, 0.6082989354768629)	(8.0, 0.5371990599016452)	(9.0, 0.5865739734955464)	('>10', 9.948057590899216)	('>50', 6.624138407757786)	('>100', 18.116643295874233)	('>500', 20.90138842257026)	('>1k', 31.91396915055399)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920141_2	(1.0, 2.8459700195524658)	(2.0, 1.2047478916911896)	(3.0, 0.8828234550589537)	(4.0, 0.6240989078269114)	(5.0, 0.651748859439496)	(6.0, 0.5569490253392057)	(7.0, 0.42857424999506244)	(8.0, 0.42659925345130645)	(9.0, 0.23107459561945765)	('>10', 4.3430173997195505)	('>50', 1.8643967373057095)	('>100', 2.816345071396125)	('>500', 13.87830071297375)	('>1k', 54.63630438646733)	('>5k', 14.60904943416349)	('>10k+', 0.0)
SRR29920142_1	(1.0, 4.360189573459715)	(2.0, 2.2797423745291043)	(3.0, 1.2978490703609187)	(4.0, 0.8166241341596792)	(5.0, 0.8506501397496659)	(6.0, 0.6999635435654393)	(7.0, 0.7315591201847127)	(8.0, 0.34998177178271966)	(9.0, 0.5468465184104995)	('>10', 7.813829140843359)	('>50', 4.547332604204643)	('>100', 24.814679790983106)	('>500', 13.654149957467492)	('>1k', 37.236602260298945)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920142_2	(1.0, 3.3977397010572368)	(2.0, 1.4533965244865719)	(3.0, 0.969741159314619)	(4.0, 0.7485721229797059)	(5.0, 0.5346943735569328)	(6.0, 0.5103900838497994)	(7.0, 0.5614290922347794)	(8.0, 0.330538340017013)	(9.0, 0.30623405030987966)	('>10', 4.024790375501277)	('>50', 2.2943249483533843)	('>100', 7.923198444525459)	('>500', 8.518653542350226)	('>1k', 55.289828654757564)	('>5k', 13.136468586705554)	('>10k+', 0.0)
SRR29920143_1	(1.0, 4.847772782999591)	(2.0, 2.6086364255551016)	(3.0, 1.5478136493665713)	(4.0, 0.8513826454161557)	(5.0, 0.7492167279662171)	(6.0, 0.7151614221495709)	(7.0, 0.7151614221495709)	(8.0, 0.5040185260863642)	(9.0, 0.5057212913771966)	('>10', 14.5603460019071)	('>50', 11.718430731507969)	('>100', 23.69738455251328)	('>500', 22.18532897425419)	('>1k', 14.793624846751124)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920143_2	(1.0, 2.802751668709985)	(2.0, 1.2941016210325569)	(3.0, 0.7917858602370249)	(4.0, 0.6402397493529493)	(5.0, 0.45974662852472414)	(6.0, 0.3780138945647732)	(7.0, 0.5006129955046996)	(8.0, 0.5312627707396812)	(9.0, 0.3218226399673069)	('>10', 4.054284157471734)	('>50', 1.1187167960768287)	('>100', 4.859692140035418)	('>500', 9.142146846478681)	('>1k', 40.370862280343275)	('>5k', 32.73395995096036)	('>10k+', 0.0)
SRR29920144_1	(1.0, 4.50517738923782)	(2.0, 2.2656028970746336)	(3.0, 1.2222033610592429)	(4.0, 0.796695524246025)	(5.0, 0.6846602161489277)	(6.0, 0.5364114751315566)	(7.0, 0.427771176370735)	(8.0, 0.5341481355740395)	(9.0, 0.6009166525207945)	('>10', 9.646353194137951)	('>50', 6.983534204719064)	('>100', 35.24472358965654)	('>500', 7.60595258303627)	('>1k', 28.945849601086405)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920144_2	(1.0, 2.44101171278221)	(2.0, 1.1067730436258698)	(3.0, 0.8759124087591241)	(4.0, 0.7650087704407854)	(5.0, 0.6111016805296214)	(6.0, 0.5975216431845187)	(7.0, 0.4515362417246647)	(8.0, 0.3802410456628756)	(9.0, 0.427771176370735)	('>10', 4.542522491936853)	('>50', 0.8227239291574718)	('>100', 1.838963390482657)	('>500', 3.2229955299043738)	('>1k', 66.44485939002999)	('>5k', 15.47105754540825)	('>10k+', 0.0)
SRR29920145_1	(1.0, 4.994668517170759)	(2.0, 2.548956552646277)	(3.0, 1.4978927948817766)	(4.0, 0.8936580742345515)	(5.0, 0.7447150618621261)	(6.0, 0.7514851987881455)	(7.0, 0.5923869810266913)	(8.0, 0.7040942403060102)	(9.0, 0.48744985867339163)	('>10', 11.918826058257029)	('>50', 11.480459692297277)	('>100', 30.52146979672664)	('>500', 15.42575698593504)	('>1k', 17.438180187194284)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920145_2	(1.0, 2.6268131272954998)	(2.0, 1.3777228644449333)	(3.0, 1.0053653335138701)	(4.0, 0.8056462941963001)	(5.0, 0.7447150618621261)	(6.0, 0.5686915017856237)	(7.0, 0.5686915017856237)	(8.0, 0.392667941709121)	(9.0, 0.3960530101721307)	('>10', 4.138246196029314)	('>50', 0.20310410778057986)	('>100', 4.055312018685578)	('>500', 5.427957280435996)	('>1k', 68.5831795948073)	('>5k', 9.105834165495997)	('>10k+', 0.0)
SRR29920146_1	(1.0, 4.988347077805665)	(2.0, 2.5994980279670132)	(3.0, 1.2818214413768376)	(4.0, 1.051750926257918)	(5.0, 0.6797537946695351)	(6.0, 0.6185012549300825)	(7.0, 0.627465041233417)	(8.0, 0.40635831241783194)	(9.0, 0.5378271782000718)	('>10', 11.933787498506035)	('>50', 9.33877136369069)	('>100', 35.39799211186806)	('>500', 15.679156208915979)	('>1k', 14.85896976216087)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920146_2	(1.0, 2.9326520855742797)	(2.0, 1.3087128002868411)	(3.0, 0.9949802796701327)	(4.0, 0.7051511891956496)	(5.0, 0.627465041233417)	(6.0, 0.6633201864467552)	(7.0, 0.5228875343611809)	(8.0, 0.3824548822756066)	(9.0, 0.389924704195052)	('>10', 4.650711127046732)	('>50', 0.7888131946934385)	('>100', 3.7244532090354965)	('>500', 5.627763834110195)	('>1k', 57.40856937970599)	('>5k', 19.272140552169237)	('>10k+', 0.0)
SRR29920147_1	(1.0, 2.969403901039587)	(2.0, 1.7893320320009465)	(3.0, 1.1401446253493632)	(4.0, 0.8931872291971666)	(5.0, 0.7615752037028822)	(6.0, 0.48799964509116717)	(7.0, 0.4451148277952768)	(8.0, 0.307587655087766)	(9.0, 0.37265427443325494)	('>10', 3.926178962778936)	('>50', 3.606761013264718)	('>100', 10.040962394451592)	('>500', 12.809251290241486)	('>1k', 51.91428951688035)	('>5k', 8.535557428685507)	('>10k+', 0.0)
SRR29920147_2	(1.0, 3.0817916980908864)	(2.0, 1.0026174526418525)	(3.0, 0.6920722239474735)	(4.0, 0.5855995741094007)	(5.0, 0.6506661934548896)	(6.0, 0.39927243689277314)	(7.0, 0.4347633201721308)	(8.0, 0.3312482439406711)	(9.0, 0.33272703074397764)	('>10', 5.143220501900241)	('>50', 1.6858169557694869)	('>100', 2.4089437025863982)	('>500', 1.9253804179051506)	('>1k', 30.452656640492144)	('>5k', 32.619079307336264)	('>10k+', 18.254144300016268)
SRR29920148_1	(1.0, 2.9463704805279303)	(2.0, 1.564581590606314)	(3.0, 1.1711125569290826)	(4.0, 0.7621526164141649)	(5.0, 0.6428726337639805)	(6.0, 0.5576726461567061)	(7.0, 0.3686835827369334)	(8.0, 0.27263996034327853)	(9.0, 0.20912724230876478)	('>10', 5.410973758403817)	('>50', 2.7651268705270007)	('>100', 8.84066053226756)	('>500', 10.778572977662112)	('>1k', 54.44279208104843)	('>5k', 9.266660470303933)	('>10k+', 0.0)
SRR29920148_2	(1.0, 2.975803203519534)	(2.0, 0.9294544102611766)	(3.0, 0.7853889766706944)	(4.0, 0.5266908324813335)	(5.0, 0.44923629829290207)	(6.0, 0.520494469746259)	(7.0, 0.3686835827369334)	(8.0, 0.2974254112835765)	(9.0, 0.3624872200018589)	('>10', 4.51559934318555)	('>50', 1.651330668897357)	('>100', 3.5272794869411657)	('>500', 2.1052142392415654)	('>1k', 27.728723239458436)	('>5k', 34.6237258729126)	('>10k+', 18.632462744369054)
SRR29920149_1	(1.0, 4.466387122954146)	(2.0, 2.353577708643311)	(3.0, 1.5582307588259163)	(4.0, 0.9630731773299067)	(5.0, 0.6763154335181929)	(6.0, 0.6817259569863384)	(7.0, 0.37873664277018804)	(8.0, 0.3895576897064791)	(9.0, 0.43825240091978895)	('>10', 11.6542675503855)	('>50', 6.8470174489381845)	('>100', 18.041390504531314)	('>500', 28.848911132152033)	('>1k', 22.7025564723387)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920149_2	(1.0, 4.103882050588394)	(2.0, 1.7259569863384283)	(3.0, 1.0712836466928175)	(4.0, 0.9306100365210334)	(5.0, 0.7033680508589206)	(6.0, 0.568104964155282)	(7.0, 0.662789124847829)	(8.0, 0.45448397132422563)	(9.0, 0.4625997565264439)	('>10', 3.627755985391587)	('>50', 1.647504396050318)	('>100', 11.632625456512917)	('>500', 13.334235087244691)	('>1k', 59.07480048694711)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920150_1	(1.0, 4.535668497060887)	(2.0, 2.515784126369772)	(3.0, 1.3207866663441303)	(4.0, 0.89020053702315)	(5.0, 0.5805655676237935)	(6.0, 0.5225090108614142)	(7.0, 0.2878637606134643)	(8.0, 0.3676915261617359)	(9.0, 0.500737802075522)	('>10', 10.921889740922614)	('>50', 5.590362611577445)	('>100', 20.336728029221803)	('>500', 30.77481313045792)	('>1k', 20.85439899368635)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920150_2	(1.0, 3.7301337719828735)	(2.0, 1.5626889861873776)	(3.0, 1.2046735528193715)	(4.0, 0.9772853721667191)	(5.0, 0.6773264955610924)	(6.0, 0.711192820339147)	(7.0, 0.5079948716708194)	(8.0, 0.5999177532112533)	(9.0, 0.500737802075522)	('>10', 4.767894724110404)	('>50', 1.2603110863833185)	('>100', 3.0141029052468613)	('>500', 7.571542611093641)	('>1k', 72.9141972471516)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920151_1	(1.0, 4.906009012576126)	(2.0, 2.168297603559779)	(3.0, 1.3236042762599696)	(4.0, 0.9729057073363878)	(5.0, 0.5939249957576785)	(6.0, 0.7579614231574184)	(7.0, 0.8050983275826309)	(8.0, 0.543017138978449)	(9.0, 0.509078567792296)	('>10', 14.280596564662407)	('>50', 7.062993759073855)	('>100', 24.878858155627203)	('>500', 25.74994814940513)	('>1k', 15.447706318230669)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920151_2	(1.0, 3.3523766427211195)	(2.0, 1.6101966551652618)	(3.0, 1.1821935629843316)	(4.0, 0.8748609461319455)	(5.0, 0.5844976148726361)	(6.0, 0.565642853102551)	(7.0, 0.5015366630842619)	(8.0, 0.3921790448177687)	(9.0, 0.3224164262684541)	('>10', 4.6024473480777575)	('>50', 1.8496521296453419)	('>100', 2.711314742538228)	('>500', 10.556781115070612)	('>1k', 70.89390425551973)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920152_1	(1.0, 5.0281993862486525)	(2.0, 2.305714522683918)	(3.0, 1.2565314754914159)	(4.0, 0.9620967073069586)	(5.0, 0.8708633988554367)	(6.0, 0.9455088330430456)	(7.0, 0.6676619391225014)	(8.0, 0.8293937131956539)	(9.0, 0.522518039313262)	('>10', 13.80318487185867)	('>50', 11.248652235216056)	('>100', 38.95662270879986)	('>500', 12.48859583644356)	('>1k', 10.114456332421)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920152_2	(1.0, 4.2174670315999006)	(2.0, 1.816372231898482)	(3.0, 1.2627519283403832)	(4.0, 0.8708633988554367)	(5.0, 0.6738823919714688)	(6.0, 0.6344861905946753)	(7.0, 0.44994608940864234)	(8.0, 0.4478726051256532)	(9.0, 0.2425976611097288)	('>10', 5.7518454010118605)	('>50', 2.023720660197396)	('>100', 6.919217052334743)	('>500', 21.630588040142655)	('>1k', 53.058389317408974)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920153_1	(1.0, 5.050440283833462)	(2.0, 2.6972728049927333)	(3.0, 1.2887919979481919)	(4.0, 0.8207232623749678)	(5.0, 0.8762930665982731)	(6.0, 0.602718645806617)	(7.0, 0.6582884500299222)	(8.0, 0.6155424467812259)	(9.0, 0.5193639394716595)	('>10', 14.80721552534838)	('>50', 8.55347525006412)	('>100', 31.681200307771224)	('>500', 25.963922373258104)	('>1k', 5.8647516457211255)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920153_2	(1.0, 3.513721467042832)	(2.0, 1.5089339146789775)	(3.0, 1.2118491921005385)	(4.0, 0.9404120714713174)	(5.0, 0.7694280584765324)	(6.0, 0.807899461400359)	(7.0, 0.4488330341113106)	(8.0, 0.3590664272890485)	(9.0, 0.30777122339061297)	('>10', 5.3475250064119)	('>50', 1.0430024792681885)	('>100', 5.691630332563905)	('>500', 11.584166880396683)	('>1k', 66.4657604513978)	('>5k', 0.0)	('>10k+', 0.0)
SRR29920154_1	(1.0, 3.7149942348091174)	(2.0, 2.1576029441961113)	(3.0, 1.1893667767054699)	(4.0, 0.9034764890777274)	(5.0, 0.5607240447947434)	(6.0, 0.4643742793511397)	(7.0, 0.45331774889039816)	(8.0, 0.41698914880510496)	(9.0, 0.3696040182590703)	('>10', 6.90085451185418)	('>50', 5.711487735148711)	('>100', 10.551089068250382)	('>500', 17.61937104136722)	('>1k', 48.986747958490625)	('>5k', 0.0)	('>10k+', 0.0)
